pathway;interact1_ensembl;interact2_ensembl
ErbB;ENSG00000146648;ENSG00000124181
ErbB;ENSG00000146648;ENSG00000126561
ErbB;ENSG00000146648;ENSG00000167193
ErbB;ENSG00000146648;ENSG00000197122
ErbB;ENSG00000146648;ENSG00000177885
ErbB;ENSG00000065361;ENSG00000121879
ErbB;ENSG00000197122;ENSG00000169398
ErbB;ENSG00000167193;ENSG00000097007
ErbB;ENSG00000158092;ENSG00000130669
ErbB;ENSG00000130669;ENSG00000076984
ErbB;ENSG00000076984;ENSG00000107643
ErbB;ENSG00000107643;ENSG00000177606
ErbB;ENSG00000107643;ENSG00000126767
ErbB;ENSG00000129946;ENSG00000177885
ErbB;ENSG00000177885;ENSG00000115904
ErbB;ENSG00000115904;ENSG00000276536
ErbB;ENSG00000276536;ENSG00000078061
ErbB;ENSG00000078061;ENSG00000169032
ErbB;ENSG00000169032;ENSG00000100030
ErbB;ENSG00000100030;ENSG00000136997
ErbB;ENSG00000100030;ENSG00000126767
ErbB;ENSG00000178568;ENSG00000126561
ErbB;ENSG00000177885;ENSG00000109458
ErbB;ENSG00000109458;ENSG00000121879
ErbB;ENSG00000275199;ENSG00000198793
ErbB;ENSG00000198793;ENSG00000108443
ErbB;ENSG00000198793;ENSG00000187840
ErbB;ENSG00000275199;ENSG00000002330
ErbB;ENSG00000275199;ENSG00000082701
ErbB;ENSG00000275199;ENSG00000111276
ErbB;ENSG00000275199;ENSG00000124762
Thyroid hormone;ENSG00000154229;ENSG00000100030
Thyroid hormone;ENSG00000121879;ENSG00000101892
Thyroid hormone;ENSG00000288516;ENSG00000169032
Thyroid hormone;ENSG00000276536;ENSG00000132155
Thyroid hormone;ENSG00000132155;ENSG00000169032
Thyroid hormone;ENSG00000169032;ENSG00000100030
Thyroid hormone;ENSG00000100030;ENSG00000115415
Thyroid hormone;ENSG00000100030;ENSG00000141510
Thyroid hormone;ENSG00000100030;ENSG00000091831
Thyroid hormone;ENSG00000100030;ENSG00000151090
Thyroid hormone;ENSG00000154229;ENSG00000090020
Thyroid hormone;ENSG00000100030;ENSG00000101892
Thyroid hormone;ENSG00000197122;ENSG00000121879
Thyroid hormone;ENSG00000151090;ENSG00000121879
Thyroid hormone;ENSG00000140992;ENSG00000275199
Thyroid hormone;ENSG00000121879;ENSG00000126351
Thyroid hormone;ENSG00000275199;ENSG00000135679
Thyroid hormone;ENSG00000275199;ENSG00000136111
Thyroid hormone;ENSG00000275199;ENSG00000123836
Thyroid hormone;ENSG00000275199;ENSG00000082701
Thyroid hormone;ENSG00000082701;ENSG00000168036
Thyroid hormone;ENSG00000275199;ENSG00000103197
Thyroid hormone;ENSG00000135679;ENSG00000141510
Thyroid hormone;ENSG00000103197;ENSG00000106615
Thyroid hormone;ENSG00000275199;ENSG00000002330
Thyroid hormone;ENSG00000275199;ENSG00000150907
Thyroid hormone;ENSG00000275199;ENSG00000132906
Thyroid hormone;ENSG00000106615;ENSG00000198793
Thyroid hormone;ENSG00000151090;ENSG00000110092
Thyroid hormone;ENSG00000151090;ENSG00000285109
Thyroid hormone;ENSG00000151090;ENSG00000159200
Thyroid hormone;ENSG00000151090;ENSG00000100644
Thyroid hormone;ENSG00000151090;ENSG00000136997
Thyroid hormone;ENSG00000151090;ENSG00000197616
Thyroid hormone;ENSG00000151090;ENSG00000196296
Thyroid hormone;ENSG00000151090;ENSG00000198523
Thyroid hormone;ENSG00000151090;ENSG00000162552
Thyroid hormone;ENSG00000151090;ENSG00000168036
Thyroid hormone;ENSG00000126351;ENSG00000197616
Thyroid hormone;ENSG00000126351;ENSG00000196296
Thyroid hormone;ENSG00000126351;ENSG00000198523
Thyroid hormone;ENSG00000126351;ENSG00000162552
Thyroid hormone;ENSG00000126351;ENSG00000168036
Thyroid hormone;ENSG00000126351;ENSG00000148400
Thyroid hormone;ENSG00000126351;ENSG00000125378
Thyroid hormone;ENSG00000100644;ENSG00000117394
Thyroid hormone;ENSG00000100644;ENSG00000141959
Thyroid hormone;ENSG00000121879;ENSG00000172348
Thyroid hormone;ENSG00000121879;ENSG00000100644
Thyroid hormone;ENSG00000126351;ENSG00000075624
Ras;ENSG00000184371;ENSG00000182578
Ras;ENSG00000182578;ENSG00000129946
Ras;ENSG00000129946;ENSG00000177885
Ras;ENSG00000177885;ENSG00000129946
Ras;ENSG00000177885;ENSG00000109458
Ras;ENSG00000109458;ENSG00000177885
Ras;ENSG00000177885;ENSG00000179295
Ras;ENSG00000179295;ENSG00000177885
Ras;ENSG00000177885;ENSG00000115904
Ras;ENSG00000115904;ENSG00000133818
Ras;ENSG00000115085;ENSG00000213658
Ras;ENSG00000213658;ENSG00000124181
Ras;ENSG00000172575;ENSG00000133818
Ras;ENSG00000148680;ENSG00000069966
Ras;ENSG00000069966;ENSG00000058335
Ras;ENSG00000058335;ENSG00000133818
Ras;ENSG00000169885;ENSG00000058335
Ras;ENSG00000288516;ENSG00000058335
Ras;ENSG00000196712;ENSG00000133818
Ras;ENSG00000170667;ENSG00000133818
Ras;ENSG00000133818;ENSG00000068028
Ras;ENSG00000068028;ENSG00000101109
Ras;ENSG00000266094;ENSG00000101109
Ras;ENSG00000068028;ENSG00000266094
Ras;ENSG00000266094;ENSG00000068028
Ras;ENSG00000101109;ENSG00000101109
Ras;ENSG00000133818;ENSG00000266094
Ras;ENSG00000133818;ENSG00000156299
Ras;ENSG00000133818;ENSG00000121879
Ras;ENSG00000133818;ENSG00000130396
Ras;ENSG00000133818;ENSG00000132155
Ras;ENSG00000133818;ENSG00000160271
